"Rank","NCT Number","Title","Recruitment","Study Results","Conditions","Interventions","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Types","Study Designs","Other IDs","First Received","Start Date","Completion Date","Last Updated","Last Verified","Results First Received","Acronym","Primary Completion Date","Outcome Measures","URL"
1583,"NCT01019798","Salvage Therapy With Sunitinib,Docetaxel and Platinum on Metastatic or Unresectable Non Small Cell Lung Cancer","Unknown status","No Results Available","Non Small Cell Lung Cancer","Drug: sunitinib, docetaxel, cisplatin","Taipei Medical University Hospital|Pfizer|TTY Biopharm","All","18 Years to 59 Years   (Adult)","Phase 2","16","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","CRC-01-08-03","November 24, 2009","January 2009","December 2011","November 24, 2009","November 2009","No Study Results Posted","null","December 2010","response rate by RECIST criteria|Time to disease progression at the end of study|Duration of survival|Safety profile: cardiac toxicity assessed in accordance with National Cancer Institute Common Toxicity Criteria. NCI-CTCAE criteria (version 3.0) will be used.","https://ClinicalTrials.gov/show/NCT01019798"
1584,"NCT00014534","Combination Chemotherapy in Treating Patients With Bladder Cancer","Completed","No Results Available","Bladder Cancer","Biological: filgrastim|Drug: cisplatin|Drug: doxorubicin hydrochloride|Drug: gemcitabine hydrochloride","Alliance for Clinical Trials in Oncology|National Cancer Institute (NCI)","All","18 Years and older   (Adult, Senior)","Phase 3","42","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","CALGB-90104|P30CA008748|MSKCC-00138|NCI-G01-1935|CDR0000068554","April 10, 2001","March 2004","April 2009","July 12, 2016","July 2016","No Study Results Posted","null","July 2005","Overall survival","https://ClinicalTrials.gov/show/NCT00014534"
1585,"NCT00910117","Induction Chemotherapy With Nimotuzumab in Locally Advanced Head and Neck Squamous Cell Carcinoma (HNSCC)","Completed","No Results Available","Head and Neck Cancer","Drug: nimotuzumab|Drug: PF regimen (cisplatin and 5-FU)","Fudan University","All","18 Years to 70 Years   (Adult, Senior)","Phase 2","40","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","HNTG 09-01","May 28, 2009","May 2009","December 2011","February 16, 2012","February 2012","No Study Results Posted","null","December 2011","overall response rate|pathologic complete response","https://ClinicalTrials.gov/show/NCT00910117"
1586,"NCT00665392","Cetuximab and Combination Chemotherapy in Treating Patients With Stage III or Stage IV Oropharynx Cancer That Can Be Removed by Surgery","Completed","No Results Available","Head and Neck Cancer","Drug: cisplatin|Drug: docetaxel|Drug: fluorouracil|Drug: Cetuximab","Groupe Cooperateur Multidisciplinaire en Oncologie (GERCOR)","All","18 Years to 75 Years   (Adult, Senior)","Phase 2","42","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","CDR0000593027|GERCOR-ECHO-07-1|EUDRACT 2007-002116-25|EU-20838|MERCK-GERCOR-ECHO-07-1","April 22, 2008","February 2008","July 2012","August 21, 2012","August 2012","No Study Results Posted","null","July 2012","Complete clinical response rate at 3 months|Rate of response (partial and complete response and stable disease)|Progression-free survival|Overall survival|Pathologic response|Tolerability","https://ClinicalTrials.gov/show/NCT00665392"
1587,"NCT00014313","Chemotherapy in Treating Patients With Metastatic Ewing's Sarcoma or Primitive Neuroectodermal Tumor","Terminated","No Results Available","Sarcoma","Drug: cisplatin|Drug: etoposide","European Organisation for Research and Treatment of Cancer - EORTC","All","15 Years to 65 Years   (Child, Adult)","Phase 2","3","Other","Interventional","Masking: Open Label|Primary Purpose: Treatment","EORTC-62993","April 10, 2001","January 2001","null","September 20, 2012","September 2012","No Study Results Posted","null","December 2002","","https://ClinicalTrials.gov/show/NCT00014313"
1588,"NCT00589056","Nelfinavir, Radiation Therapy, Cisplatin, and Etoposide in Treating Patients With Stage III Non-Small Cell Lung Cancer That Cannot Be Removed By Surgery","Active, not recruiting","No Results Available","Lung Cancer","Drug: cisplatin|Drug: etoposide|Drug: nelfinavir mesylate|Genetic: protein expression analysis|Other: immunohistochemistry staining method|Other: laboratory biomarker analysis|Procedure: biopsy|Radiation: radiation therapy","Abramson Cancer Center of the University of Pennsylvania|National Cancer Institute (NCI)","All","18 Years to 120 Years   (Adult, Senior)","Phase 1|Phase 2","55","Other|NIH","Interventional","Masking: Open Label|Primary Purpose: Treatment","CDR0000582319|UPCC-806285|UPCC-04507","December 25, 2007","June 2007","null","September 23, 2016","September 2016","No Study Results Posted","null","March 2012","Dose-limiting toxicity as measured by NCI Common Toxicity Criteria|Maximum tolerated dose and recommended phase II dose of nelfinavir mesylate|Response at 3 months after completion of treatment as measured by RECIST criteria|Overall survival|Expression of molecular markers (total Akt and p-Akt) in primary tumor or pathologic lymph nodes and in peripheral blood lymphocytes","https://ClinicalTrials.gov/show/NCT00589056"
1589,"NCT00292695","A Phase II Study of Nasal NK/T-cell Lymphoma","Completed","No Results Available","Lymphoma","Other: VP-16, Cisplatin, Ifosfamide, Dexamethosone, Mesna, IF-RT","National Health Research Institutes, Taiwan|Mackay Memorial Hospital|National Cheng-Kung University Hospital|Taichung Veterans General Hospital|Taipei Veterans General Hospital, Taiwan|Kaohsiung Veterans General Hospital.|National Taiwan University Hospital|Tri-Service General Hospital|Chi Mei Medical Hospital|Kaohsiung Medical University|Changhua Christian Hospital|Buddhist Tzu Chi General Hospital","All","up to 70 Years   (Child, Adult, Senior)","Phase 2","33","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","T1405","February 15, 2006","May 2006","December 2010","October 28, 2013","October 2013","No Study Results Posted","null","December 2009","tumor response by CT scan or MRI|EBV DNA level, AEs, Withdrawal from the study treatment","https://ClinicalTrials.gov/show/NCT00292695"
1590,"NCT01015339","Paclitaxel Plus Capecitabine With Capecitabine Maintenance Treatment in Metastatic Adenocarcinoma of the Stomach or Esophagogastric Junction","Unknown status","No Results Available","Advanced Gastric Cancer","Drug: Paclitaxel|Drug: capecitabine|Drug: capecitabine|Drug: cisplatin","Peking University|Roche Pharma AG","All","18 Years and older   (Adult, Senior)","Phase 3","320","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","PAC-C|ML22697","November 17, 2009","November 2009","August 2015","May 17, 2015","May 2015","No Study Results Posted","null","August 2015","Progression free survival|Tumor response rate|Disease control rate|Overall survival|adverse evens","https://ClinicalTrials.gov/show/NCT01015339"
1591,"NCT00005601","Combination Chemotherapy Plus Rituximab in Treating Patients With Relapsed Non-Hodgkin's Lymphoma","Completed","No Results Available","Lymphoma","Biological: rituximab|Drug: cisplatin|Drug: cytarabine|Drug: dexamethasone|Drug: sargramostim","Alliance for Clinical Trials in Oncology|National Cancer Institute (NCI)","All","18 Years and older   (Adult, Senior)","Phase 2","58","Other|NIH","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","NCCTG-N9981|NCI-2012-02326|CDR0000067714","May 2, 2000","October 2000","February 2008","December 5, 2016","December 2016","No Study Results Posted","null","July 2003","response|percentage of patients able to proceed to transplant after two courses of this treatment regimen|duration of response|overall survival","https://ClinicalTrials.gov/show/NCT00005601"
1592,"NCT00516750","Gene Expression Profiling in Patients With Invasive Bladder Cancer Receiving Methotrexate, Vinblastine, Doxorubicin, and Cisplatin","Terminated","No Results Available","Bladder Cancer","Drug: cisplatin|Drug: doxorubicin hydrochloride|Drug: methotrexate|Drug: vinblastine|Genetic: gene expression profiling|Procedure: neoadjuvant therapy","Kyoto University|National Cancer Institute (NCI)","All","20 Years to 80 Years   (Adult, Senior)","Phase 2","100","Other","Interventional","Masking: Open Label|Primary Purpose: Treatment","TRIC-UHA-GU-03-01|CDR0000561303","August 14, 2007","July 2007","February 2009","July 9, 2013","March 2008","No Study Results Posted","null","February 2009","Detection of genes associated with sensitivity to the chemotherapy in tumor size reduction of original bladder tumor|Safety|Overall survival rate|Size reduction of metastatic lesion","https://ClinicalTrials.gov/show/NCT00516750"
1593,"NCT00017173","S0011, Gene Therapy & Surgery Followed by Chemo & RT in Newly Diagnosed Cancer of the Mouth or Throat","Terminated","No Results Available","Head and Neck Cancer","Biological: Ad5CMV-p53 gene|Drug: cisplatin|Procedure: conventional surgery|Radiation: radiation therapy","Southwest Oncology Group|National Cancer Institute (NCI)","All","18 Years and older   (Adult, Senior)","Phase 2","13","Other|NIH","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","CDR0000068658|U10CA032102|S0011","June 6, 2001","February 2003","July 2011","June 12, 2012","June 2012","No Study Results Posted","null","May 2007","Feasibility|Progression-free survival from time of registration until disease progression","https://ClinicalTrials.gov/show/NCT00017173"
1594,"NCT00737438","Pre-operative Chemotherapy Plus Bevacizumab With Early Salvage Therapy Based on PET Assessment of Response in Patients With Locally Advanced But Resectable Gastric and GEJ Adenocarcinoma","Completed","Has Results","Esophageal Cancer|Gastric Cancer","Drug: epirubicin, cisplatin, capecitabine, bevacizumab, docetaxel and irinotecan","Memorial Sloan Kettering Cancer Center|Genentech, Inc.|Weill Medical College of Cornell University","All","18 Years and older   (Adult, Senior)","Phase 2","22","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","08-081","August 15, 2008","August 2008","February 2015","January 4, 2016","January 2016","January 4, 2016","null","February 2015","Overall Response Will be Characterized by the Patient's FDG-PET Scan","https://ClinicalTrials.gov/show/NCT00737438"
1595,"NCT02497118","Recombinant Human Endostatin Combined With NP in Neoadjuvant Chemotherapy of Stage ⅢA NSCLC","Completed","No Results Available","Non Small Cell Lung Cancer","Drug: Endostatin|Drug: Vinorelbine|Drug: Cisplatin","Tianjin Medical University Cancer Institute and Hospital","All","18 Years to 75 Years   (Adult, Senior)","Phase 4","30","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","TMUCIH-ENDU-S001","July 5, 2015","August 2010","June 2015","July 13, 2015","May 2014","No Study Results Posted","null","April 2015","Tumor Regression Rate|Disease free survival is defined as the time from randomization to disease recurrence or death which comes first.|Overall Survival|Clinical Benefit Rate","https://ClinicalTrials.gov/show/NCT02497118"
1596,"NCT00400114","Sutent Following Chemotherapy, Radiation and Surgery For Resectable Esophageal Cancer","Completed","No Results Available","Esophageal Cancer","Drug: Irinotecan|Drug: Cisplatin|Procedure: Radiation|Procedure: Surgery|Drug: sunitinib (Sutent)","University Health Network, Toronto|Pfizer","All","18 Years to 70 Years   (Adult, Senior)","Phase 2","36","Other|Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: No masking|Primary Purpose: Treatment","06-0407-C","November 15, 2006","September 25, 2006","September 19, 2016","May 3, 2017","May 2017","No Study Results Posted","null","September 19, 2016","To determine the feasibility and efficacy of adjuvant Sutent therapy after concurrent neoadjuvant therapy with Irinotecan, Cisplatin, external beam conformal radiotherapy plus surgery for potentially resectable esophageal cancer.|To assess the impact of adjuvant targeted therapy with Sutent after multimodality therapy for resected esophageal cancer stage II to III, and to compare these data to our current completed trial in the same patient population|To characterize toxicity of targeted adjuvant therapy with Sutent after multimodality therapy for resected esophageal cancer stage II to III|To measure time-to-event efficacy variables including: Time to treatment failure and Time to progressive disease|Survival of patients with esophageal cancer stage II to III with adjuvant targeted therapy added to multimodality treatment protocol|To determine the pattern of relapse (local versus distant) with the addition of adjuvant targeted therapy to esophageal cancer multimodality therapy","https://ClinicalTrials.gov/show/NCT00400114"
1597,"NCT00352118","Combination Chemotherapy and Radiation Therapy in Treating Patients With Locally Advanced Head and Neck Cancer","Terminated","Has Results","Head and Neck Cancer","Biological: filgrastim|Biological: pegfilgrastim|Drug: cisplatin|Drug: docetaxel|Drug: fluorouracil|Procedure: conventional surgery|Radiation: radiation therapy","Masonic Cancer Center, University of Minnesota|National Cancer Institute (NCI)","All","18 Years and older   (Adult, Senior)","Phase 2","4","Other|NIH","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","2005LS012|UMN-0502M67486","July 13, 2006","March 2006","April 2008","November 6, 2012","November 2012","June 2, 2009","null","April 2008","Number of Patients With Feeding Tube Dependency|Number of Days With Progression-free Survival|Number of Days - Overall Survival|Number of Days With Disease Free Survival|Time to Treatment Failure|Swallowing Ability - Quality of Life Scores|Quality of Life (QOL) by Functional Assessment of Cancer Therapy-H&N QOL Questionnaire","https://ClinicalTrials.gov/show/NCT00352118"
1598,"NCT01101451","Radiation Therapy With or Without Chemotherapy in Patients With Stage I or Stage II Cervical Cancer Who Previously Underwent Surgery","Recruiting","No Results Available","Cervical Adenocarcinoma|Cervical Adenosquamous Carcinoma|Cervical Squamous Cell Carcinoma, Not Otherwise Specified|Stage IA Cervical Cancer|Stage IB Cervical Cancer|Stage IIA Cervical Cancer","Drug: Cisplatin|Radiation: External Beam Radiation Therapy|Radiation: Intensity-Modulated Radiation Therapy|Other: Laboratory Biomarker Analysis|Other: Quality-of-Life Assessment","Gynecologic Oncology Group|National Cancer Institute (NCI)","Female","18 Years and older   (Adult, Senior)","Phase 3","534","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: No masking|Primary Purpose: Treatment","GOG-0263|NCI-2011-02037|CDR0000670125|U10CA180868|U10CA027469","April 9, 2010","April 2010","null","May 2, 2017","May 2017","No Study Results Posted","null","December 2020","RFS|Incidence of adverse events graded according to the active version of CTCAE|Local control|OS|Patient risk-benefit|Quality of life, assessed using the FACT-Cx TOI, FACT-GOG/neurotoxicity 4 subscale, and the Brief Pain Inventory (BPI)|Site(s) of recurrence|Treatment compliance","https://ClinicalTrials.gov/show/NCT01101451"
1599,"NCT01345084","Study Comparing Radiation Therapy and Chemotherapy With or Without Nimotuzumab","Withdrawn","No Results Available","Carcinoma|Head and Neck Cancer","Radiation: Radiation Therapy|Drug: Nimotuzumab|Drug: Cisplatin","Eurofarma Laboratorios S.A.","All","18 Years to 75 Years   (Adult, Senior)","Phase 3","0","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","EF 118","April 28, 2011","November 2013","November 2017","July 24, 2015","August 2013","No Study Results Posted","NICAP","November 2013","Overall survival|Complete clinical response rate","https://ClinicalTrials.gov/show/NCT01345084"
1600,"NCT00003691","Combination Chemotherapy With or Without G-CSF in Treating Patients With Stage III, Stage IV, or Recurrent Endometrial Cancer","Completed","No Results Available","Endometrial Cancer","Biological: filgrastim|Drug: cisplatin|Drug: doxorubicin hydrochloride|Drug: paclitaxel","Gynecologic Oncology Group|National Cancer Institute (NCI)","Female","18 Years and older   (Adult, Senior)","Phase 3","240","Other|NIH","Interventional","Allocation: Randomized|Primary Purpose: Treatment","CDR0000066794|GOG-0177","November 1, 1999","December 1998","null","July 8, 2013","September 2010","No Study Results Posted","null","June 2004","","https://ClinicalTrials.gov/show/NCT00003691"
1601,"NCT00871403","Study of Pazopanib and Pemetrexed in Advanced Non-small Cell Lung Cancer","Completed","Has Results","Lung Cancer, Non-Small Cell","Drug: pazopanib and pemetrexed|Drug: pemetrexed and cisplatin","GlaxoSmithKline","All","18 Years and older   (Adult, Senior)","Phase 2","107","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","111128","March 26, 2009","July 2009","March 2011","June 12, 2013","March 2012","January 26, 2012","null","March 2011","Progression-free Survival (PFS)|Overall Survival (OS)|Best Overall Response, Assessed as the Number of Participants With the Indicated Tumor Response: Investigator Assessed Only|Percentage of Participants With a Complete Response or a Partial Response","https://ClinicalTrials.gov/show/NCT00871403"
1602,"NCT02227940","Ceritinib and Combination Chemotherapy in Treating Patients With Advanced Solid Tumors or Locally Advanced or Metastatic Pancreatic Cancer","Recruiting","No Results Available","Advanced Malignant Solid Neoplasm|ALK Positive|Metastatic Pancreatic Adenocarcinoma|Stage III Pancreatic Cancer|Stage IV Pancreatic Cancer","Drug: Ceritinib|Drug: Cisplatin|Drug: Gemcitabine Hydrochloride|Other: Laboratory Biomarker Analysis|Drug: Paclitaxel Albumin-Stabilized Nanoparticle Formulation|Other: Pharmacological Study","Roswell Park Cancer Institute|National Cancer Institute (NCI)","All","18 Years and older   (Adult, Senior)","Phase 1","96","Other|NIH","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: No masking|Primary Purpose: Treatment","I 248813|NCI-2014-01766|P30CA016056","August 26, 2014","January 8, 2015","June 11, 2018","April 24, 2017","April 2017","No Study Results Posted","null","June 11, 2017","MTD and RP2D of ceritinib in combination with gemcitabine hydrochloride alone, defined as the highest dose level at which < 2 of 6 patients experience treatment-related dose limiting toxicity (DLT) (Arms 1 and 1E)|MTD and RP2D of ceritinib in combination with gemcitabine hydrochloride and cisplatin, defined as the highest dose level at which < 2 of 6 patients experience treatment-related DLT (Arms 3 and 3E)|MTD and RP2D of ceritinib in combination with gemcitabine hydrochloride and paclitaxel albumin-stabilized nanoparticle formulation, defined as the highest dose level at which < 2 of 6 patients experience treatment-related DLT (Arms 2 and 2E)|Incidence of adverse events of ceritinib in combination with gemcitabine hydrochloride based chemotherapy in advanced solid malignancies according to NCI CTCAE v4.0|Pharmacokinetic parameters of ceritinib and gemcitabine hydrochloride when administered in combination in patients with advanced solid tumors (Arms 1 and 1E)|Pharmacokinetic parameters of ceritinib, gemcitabine hydrochloride, and paclitaxel albumin-stabilized nanoparticle formulation when administered in combination in patients with advanced solid tumors (Arms 2 and 2E)|Pharmacokinetic parameters of paclitaxel albumin-stabilized nanoparticle formulation, and cisplatin when administered in combination in patients with advanced solid tumors (Arms 3 and 3E)|Progression free survival|Response rate as assessed by the RECIST 1.1","https://ClinicalTrials.gov/show/NCT02227940"
1603,"NCT00578760","Does Aspirin Have a Protective Role Against Chemotherapeutically Induced Ototoxicity?","Unknown status","No Results Available","Hearing Loss|Ototoxicity","Drug: aspirin|Drug: placebo","University Health Network, Toronto","All","18 Years and older   (Adult, Senior)","","110","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double Blind (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","Aspirin-01","December 18, 2007","February 2008","February 2010","December 19, 2007","December 2007","No Study Results Posted","null","null","hearing loss|hearing loss and tinnitus questionnaires","https://ClinicalTrials.gov/show/NCT00578760"
1604,"NCT00006260","Combination Chemotherapy in Treating Patients With Metastatic Breast Cancer","Completed","No Results Available","Breast Cancer","Drug: cisplatin|Drug: etoposide|Drug: ifosfamide|Drug: Mesna","Case Comprehensive Cancer Center|National Cancer Institute (NCI)","All","Child, Adult, Senior","Phase 2","36","Other|NIH","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","CWRU4196|P30CA043703|CWRU-4196|BMS-CRWU-4196|NCI-G00-1854","September 11, 2000","May 1997","null","June 9, 2010","June 2010","No Study Results Posted","null","January 2005","Determine the objective response rate in patients with metastatic breast cancer treated with etoposide, ifosfamide with mesna, and cisplatin.","https://ClinicalTrials.gov/show/NCT00006260"
1605,"NCT01326468","Torisel in Addition to Standard Chemotherapy With Radiation for Advanced Head and Neck Cancer","Withdrawn","No Results Available","Head and Neck Cancer","Drug: Temsirolimus|Drug: Cetuximab|Drug: Cisplatin|Device: Radiation Therapy","Sidney Kimmel Cancer Center at Thomas Jefferson University|Pfizer|Thomas Jefferson University","All","18 Years and older   (Adult, Senior)","","0","Other|Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","10D.133|2009-44","March 29, 2011","January 2011","null","October 19, 2016","October 2016","No Study Results Posted","null","null","Maximum Tolerated Dose (MTD) of Torisel|Progression-Free Survival","https://ClinicalTrials.gov/show/NCT01326468"
1606,"NCT00276666","Radiation Therapy and Combination Chemotherapy in Treating Young Patients With Metastatic Medulloblastoma Who Have Undergone Surgery","Unknown status","No Results Available","Brain and Central Nervous System Tumors","Drug: cisplatin|Drug: lomustine|Drug: vincristine sulfate|Procedure: adjuvant therapy|Radiation: radiation therapy","Children's Cancer and Leukaemia Group|National Cancer Institute (NCI)","All","3 Years to 21 Years   (Child, Adult)","Phase 2","29","Other","Interventional","Masking: Open Label|Primary Purpose: Treatment","CDR0000454549|CCLG-CNS-2001-06|EU-20577","January 12, 2006","November 2001","null","September 16, 2013","June 2009","No Study Results Posted","null","March 2010","Toxicity","https://ClinicalTrials.gov/show/NCT00276666"
1607,"NCT00454649","Investigational Agent AG-013736 In Combinations With Standard Of Care Treatments For Patient's With Advanced Solid Tumor","Completed","Has Results","Neoplasms","Drug: Axitinib + Paclitaxel + Carboplatin (Cohort 1)|Drug: Axitinib + Paclitaxel + Carboplatin (Cohort 2)|Drug: Axitinib + Paclitaxel + Carboplatin (Cohort 3)|Drug: Axitinib + Paclitaxel (Cohort 4)|Drug: Axitinib + Docetaxel + Carboplatin (Cohort 4a)|Drug: Axitinib + Docetaxel (Cohort 5)|Drug: Axitinib + Capecitabine (Cohort 6)|Drug: Axitinib + Capecitabine (Cohort 7)|Drug: Axitinib + Gemcitabine + Cisplatin (Cohort 8)|Drug: Axitinib + Pemetrexed + Cisplatin (Cohort 9)","Pfizer","All","18 Years and older   (Adult, Senior)","Phase 1","102","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","A4061019","March 29, 2007","December 2005","April 2011","March 30, 2012","March 2012","February 25, 2012","null","August 2009","Maximum Tolerated Dose (MTD) of Axitinib (AG-013736) in Combination With Chemotherapy|Area Under the Curve From Time Zero to Time 24 Hours [AUC (0-24)] for Axitinib (AG-013736)|Maximum Observed Plasma Concentration (Cmax) for Axitinib (AG-013736)|Minimum Observed Plasma Trough Concentration (Cmin) for Axitinib (AG-013736)|Apparent Oral Clearance (CL/F) for Axitinib (AG-013736)|Plasma Decay Half Life (t1/2) for Axitinib (AG-013736)|Area Under the Curve From Time Zero to Extrapolated Infinite Time [AUC (0-∞)] for Paclitaxel|Maximum Observed Plasma Concentration (Cmax) for Paclitaxel|Minimum Observed Plasma Trough Concentration (Cmin) for Paclitaxel|Plasma Clearance (CL) for Paclitaxel|Plasma Decay Half Life (t1/2) for Paclitaxel|Area Under the Curve From Time Zero to Extrapolated Infinite Time [AUC (0-∞)] for Docetaxel|Maximum Observed Plasma Concentration (Cmax) for Docetaxel|Minimum Observed Plasma Trough Concentration (Cmin) for Docetaxel|Plasma Clearance (CL) for Docetaxel|Plasma Decay Half Life (t1/2) for Docetaxel|Area Under the Curve From Time Zero to Time 24 Hours [AUC (0-24)] for Capecitabine|Maximum Observed Plasma Concentration (Cmax) for Capecitabine|Minimum Observed Plasma Trough Concentration (Cmin) for Capecitabine|Apparent Oral Clearance (CL/F) for Capecitabine|Plasma Decay Half Life (t1/2) for Capecitabine|Area Under the Curve From Time Zero to Extrapolated Infinite Time [AUC (0-∞)] for Gemcitabine|Maximum Observed Plasma Concentration (Cmax) for Gemcitabine|Minimum Observed Plasma Trough Concentration (Cmin) for Gemcitabine|Plasma Clearance (CL) for Gemcitabine|Plasma Decay Half Life (t1/2) for Gemcitabine|Area Under the Curve From Time Zero to Extrapolated Infinite Time [AUC (0-∞)] for Carboplatin|Maximum Observed Plasma Concentration (Cmax) for Carboplatin|Minimum Observed Plasma Trough Concentration (Cmin) for Carboplatin|Plasma Clearance (CL) for Carboplatin|Plasma Decay Half Life (t1/2) for Carboplatin|Area Under the Curve From Time Zero to Time 8 Hours [AUC (0-8)] for Cisplatin|Maximum Observed Plasma Concentration (Cmax) for Cisplatin|Minimum Observed Plasma Trough Concentration (Cmin) for Cisplatin|Plasma Clearance (CL) for Cisplatin|Plasma Decay Half Life (t1/2) for Cisplatin|Area Under the Curve From Time Zero to Extrapolated Infinite Time [AUC (0-∞)] for Pemetrexed|Maximum Observed Plasma Concentration (Cmax) for Pemetrexed|Minimum Observed Plasma Trough Concentration (Cmin) for Pemetrexed|Plasma Clearance (CL) for Pemetrexed|Plasma Decay Half Life (t1/2) for Pemetrexed|Percentage of Participants With Objective Response","https://ClinicalTrials.gov/show/NCT00454649"
1608,"NCT01672671","BRCA1-associated DNA Repair Dysfunction in Patients With Early Triple Negative Breast Cancer Treated With Neoadjuvant Platinum-based Chemotherapy","Completed","No Results Available","Early Triple Negative Breast Cancer","Drug: Doxorubicin, Paclitaxel, Cisplatin","Russian Academy of Medical Sciences","Female","18 Years to 75 Years   (Adult, Senior)","Phase 2","41","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","TNNP 001","August 16, 2012","August 2011","November 2015","November 1, 2015","November 2015","No Study Results Posted","null","June 2015","The pathological complete response rate to neoadjuvant platinum-based chemotherapy|Disease-free survival|Clinical responses to neadjuvant chemotherapy","https://ClinicalTrials.gov/show/NCT01672671"
1609,"NCT00421096","Radiochemotherapy Followed by Adjuvant Chemotherapy Based on Gemcitabine in Uterine Cervical Cancer","Terminated","No Results Available","Uterine Cervical Cancer","Drug: Gemcitabine|Procedure: Radiotherapy|Drug: Cisplatin","Centre Oscar Lambret","Female","18 Years to 70 Years   (Adult, Senior)","Phase 2","19","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","GEMCOL 0401","January 10, 2007","May 2005","December 2011","July 23, 2012","July 2012","No Study Results Posted","GEMCOL","April 2008","Progression-free survival|Global survival|safety","https://ClinicalTrials.gov/show/NCT00421096"
1610,"NCT01086826","Treatment of Patients With Locally Advanced Squamous Cell Carcinoma of the Head and Neck","Completed","No Results Available","Head and Neck Squamous Cell Carcinoma","Drug: RT+CDDP/5-FU|Drug: RT+CETUXIMAB|Drug: INDUCTION CTx(TPF)+(RT+CDDP/5-FU)|Drug: INDUCTION CTx(TPF)+(RT+CETUXIMAB)","Associazione Volontari Pazienti Oncologici|Mario Negri Institute for Pharmacological Research","All","18 Years and older   (Adult, Senior)","Phase 3","320","Other","Interventional","Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: Open Label|Primary Purpose: Treatment","H&N07","March 12, 2010","March 2008","December 2014","January 23, 2015","June 2013","No Study Results Posted","H&N07","April 2014","overall survival|progression free survival","https://ClinicalTrials.gov/show/NCT01086826"
1611,"NCT00274911","Radiation Therapy Followed By Combination Chemotherapy in Treating Young Patients With Supratentorial Primitive Neuroectodermal Tumors","Unknown status","No Results Available","Brain and Central Nervous System Tumors","Drug: cisplatin|Drug: lomustine|Drug: vincristine sulfate|Procedure: adjuvant therapy|Radiation: radiation therapy","Children's Cancer and Leukaemia Group|National Cancer Institute (NCI)","All","3 Years to 18 Years   (Child, Adult)","Phase 2","30","Other","Interventional","Masking: Open Label|Primary Purpose: Treatment","CCLG-CNS-2004-01|CDR0000454540|EU-20580","January 10, 2006","February 2004","null","August 1, 2013","June 2009","No Study Results Posted","null","March 2010","Toxicity measured by hematological, gastrointestinal, mucosal, neurological, and skin morbidity during treatment and for 6 weeks after completion of treatment|Overall and relapse free survival at follow up every 2 months for 1 year, every 3 months for 2 years, and then every 6 months for 2 years","https://ClinicalTrials.gov/show/NCT00274911"
